,Dish Name,Love Count
59,biryani,15
58,butter chicken,10
36,tandoori chicken,8
5,chicken tikka masala,7
8,chicken tikka,7
24,chicken tikka biryani,7
37,chicken biryani,7
28,naan,4
46,rice,4
10,dal makhani,3
31,fish,3
43,roti,3
7,dum biryani,2
33,paneer tikka,2
38,rumali roti,2
44,paneer tikka masala,2
9,salad,1
13,panneer butter masala,1
18,mutton biryani,1
21,fish tikka,1
27,shawarma,1
50,gulab jamun,1
0,boti chicken,0
1,chicken tariwala,0
2,egg curry,0
3,chicken malai tikka,0
4,dal tadka,0
6,butter naan,0
11,malai kofta,0
12,chicken roll,0
14,kiwi mojito,0
15,jumbo prawns,0
16,mutton bhuna,0
17,mutton curry,0
19,lassi,0
20,rolls,0
22,chicken taka tak,0
23,mint mojito,0
25,chicken shawarama,0
26,seekh kebab,0
29,paneer makhani,0
30,chicken tenders,0
32,chicken lollipop,0
34,paan ice cream,0
35,chicken dum biryani,0
39,chicken sukha,0
40,nalli nihari,0
41,salads,0
42,manchow soup,0
45,mutton rara,0
47,vegetable biryani,0
48,raita,0
49,dahi kebab,0
51,crispy corn,0
52,hyderabadi biryani,0
53,keema kaleji,0
54,barbeque chicken,0
55,hyderabadi chicken,0
56,haleem,0
57,afghan chicken,0
60,chicken grill,0
